id,name,category,price,price_cp,availability,source,page,shop_types,tags,notes
love-potion,Love potion,forbidden_item,1 gc,100,Rare,dlc1,26,black_market|occult,forbidden,
lust,Lust,forbidden_item,5 ss,50,Exotic,dlc1,26,black_market|occult,forbidden,
revenant-head,Revenant head,forbidden_item,100 gc,10000,Exotic,dlc1,26,black_market|occult,forbidden,
unicorn-horn,Unicorn horn,forbidden_item,100 gc,10000,Exotic,dlc1,27,black_market|occult,forbidden,
blunderbuss,Blunderbuss,engineering_marvel,5 gc,500,Rare,dlc1,27,engineer|specialist|black_market,engineering,
bomb,Bomb,engineering_marvel,5 gc,500,Rare,dlc1,27,engineer|specialist|black_market,engineering,
clock-pocket-watch,Clock or pocket watch,engineering_marvel,5 gc,500,Rare,dlc1,27,engineer|specialist|black_market,engineering,
construct-engineering,Construct,engineering_marvel,100 gc,10000,Exotic,dlc1,27,engineer|specialist|black_market,engineering,
flare,Flare,engineering_marvel,5 ss,50,Rare,dlc1,27,engineer|specialist|black_market,engineering,
smoke-bomb,Smoke bomb,engineering_marvel,1 gc,100,Rare,dlc1,27,engineer|specialist|black_market,engineering,
timer,Timer,engineering_marvel,1 gc,100,Rare,dlc1,28,engineer|specialist|black_market,engineering,
agility-potion,Agility potion,potion,5 ss,50,Rare,dlc1,28,apothecary|occult,magic|consumable,
courage-potion,Courage potion,potion,5 ss,50,Rare,dlc1,28,apothecary|occult,magic|consumable,
cunning-potion,Cunning potion,potion,5 ss,50,Rare,dlc1,28,apothecary|occult,magic|consumable,
might-potion,Might potion,potion,5 ss,50,Rare,dlc1,28,apothecary|occult,magic|consumable,
mimic-potion,Mimic potion,potion,1 gc,100,Exotic,dlc1,28,apothecary|occult,magic|consumable,
phasing-potion,Phasing potion,potion,5 gc,500,Exotic,dlc1,28,apothecary|occult,magic|consumable,
shrinking-potion,Shrinking potion,potion,5 ss,50,Exotic,dlc1,29,apothecary|occult,magic|consumable,
water-breathing-potion,Water-breathing potion,potion,5 ss,50,Exotic,dlc1,29,apothecary|occult,magic|consumable,
weightlessness-potion,Weightlessness potion,potion,5 ss,50,Exotic,dlc1,29,apothecary|occult,magic|consumable,
wings-potion,Wings potion,potion,3 gc,300,Exotic,dlc1,29,apothecary|occult,magic|consumable,
knockout-poison,Knockout poison,poison,5 ss,50,Rare,poisoned_pages,2,black_market|apothecary,poison,
lethal-poison,Lethal poison,poison,10 gc,1000,Exotic,poisoned_pages,2,black_market|apothecary,poison,
maddening-poison,Maddening poison,poison,1 gc,100,Rare,poisoned_pages,2,black_market|apothecary,poison,
major-poison,Major poison,poison,2 gc,200,Rare,poisoned_pages,2,black_market|apothecary,poison,
mild-poison,Mild poison,poison,5 ss,50,Rare,poisoned_pages,2,black_market|apothecary,poison,
needle-ring,Needle ring,poison_gear,1 gc,100,Rare,poisoned_pages,2,black_market|apothecary,poison,
poison-ring,Poison ring,poison_gear,1 gc,100,Rare,poisoned_pages,2,black_market|apothecary,poison,
slow-poison,Slow poison,poison,3 gc,300,Exotic,poisoned_pages,2,black_market|apothecary,poison,
syringe,Syringe,medical_gear,1 ss,10,Rare,poisoned_pages,2,black_market|apothecary,poison,
truth-poison,Truth poison,poison,5 ss,50,Rare,poisoned_pages,2,black_market|apothecary,poison,
venomous-sheath,Venomous sheath,poison_gear,1 ss,10,Rare,poisoned_pages,2,black_market|apothecary,poison,
weakening-poison,Weakening poison,poison,1 gc,100,Rare,poisoned_pages,2,black_market|apothecary,poison,
brainwash-poison,Brainwash poison,alchemical_poison,5 gc,500,Exotic,poisoned_pages,4,black_market|apothecary|occult,poison|alchemy,
doomfire-poison,Doomfire poison,alchemical_poison,20 gc,2000,Exotic,poisoned_pages,4,black_market|apothecary|occult,poison|alchemy,
harmless-poison,Harmless poison,alchemical_poison,20 gc,2000,Exotic,poisoned_pages,4,black_market|apothecary|occult,poison|alchemy,
mindwrack-poison,Mindwrack poison,alchemical_poison,20 gc,2000,Exotic,poisoned_pages,4,black_market|apothecary|occult,poison|alchemy,
slowrot-poison,Slowrot poison,alchemical_poison,10 gc,1000,Exotic,poisoned_pages,4,black_market|apothecary|occult,poison|alchemy,
stoneflesh-poison,Stoneflesh poison,alchemical_poison,5 gc,500,Exotic,poisoned_pages,4,black_market|apothecary|occult,poison|alchemy,
thoughtrend-poison,Thoughtrend poison,alchemical_poison,5 gc,500,Exotic,poisoned_pages,4,black_market|apothecary|occult,poison|alchemy,
tumescent-poison,Tumescent poison,alchemical_poison,5 gc,500,Exotic,poisoned_pages,4,black_market|apothecary|occult,poison|alchemy,
incantation-rank-0,Incantation (rank 0),incantation,1 ss,10,Uncommon,core,109,occult|temple|black_market,spell|scroll,Template product. Pair with a spell of the same rank from spells files.
incantation-rank-1,Incantation (rank 1),incantation,5 ss,50,Uncommon,core,109,occult|temple|black_market,spell|scroll,Template product. Pair with a spell of the same rank from spells files.
incantation-rank-2,Incantation (rank 2),incantation,1 gc,100,Rare,core,109,occult|temple|black_market,spell|scroll,Template product. Pair with a spell of the same rank from spells files.
incantation-rank-3,Incantation (rank 3),incantation,5 gc,500,Rare,core,109,occult|temple|black_market,spell|scroll,Template product. Pair with a spell of the same rank from spells files.
incantation-rank-4,Incantation (rank 4),incantation,10 gc,1000,Exotic,core,109,occult|temple|black_market,spell|scroll,Template product. Pair with a spell of the same rank from spells files.
incantation-rank-5,Incantation (rank 5),incantation,50 gc,5000,Exotic,core,109,occult|temple|black_market,spell|scroll,Template product. Pair with a spell of the same rank from spells files.
incantation-rank-6,Incantation (rank 6),incantation,100 gc,10000,Exotic,core,109,occult|temple|black_market,spell|scroll,Template product. Pair with a spell of the same rank from spells files.
incantation-rank-7,Incantation (rank 7),incantation,250 gc,25000,GM permission,core,109,occult|temple|black_market,spell|scroll,Template product. Pair with a spell of the same rank from spells files.
incantation-rank-8,Incantation (rank 8),incantation,500 gc,50000,GM permission,core,109,occult|temple|black_market,spell|scroll,Template product. Pair with a spell of the same rank from spells files.
incantation-rank-9,Incantation (rank 9),incantation,"1,000 gc",100000,GM permission,core,109,occult|temple|black_market,spell|scroll,Template product. Pair with a spell of the same rank from spells files.
incantation-rank-10,Incantation (rank 10),incantation,"5,000 gc",500000,GM permission,core,109,occult|temple|black_market,spell|scroll,Template product. Pair with a spell of the same rank from spells files.
